time	RMSD_R1	RMSD_R2	RMSD_R3
29.4	1.53	1.28	1.19
29.5	1.57	1.22	1.48
29.6	1.86	1.24	1.46
29.7	1.44	1.21	1.46
29.8	1.53	1.05	1.47
29.9	1.55	1.33	1.36
30.0	1.53	0.85	1.45
30.1	1.34	1.13	1.37
30.2	1.44	1.27	1.41
30.3	1.39	0.92	1.5
30.4	1.51	0.99	1.4
30.5	1.68	1.04	1.38
30.6	1.56	1.47	1.49
30.7	1.42	1.47	1.33
30.8	1.36	1.29	1.47
30.9	1.66	1.27	1.39
31.0	1.69	1.17	1.3
31.1	1.6	1.26	1.31
31.2	1.47	1.12	1.45
31.3	1.49	1.15	1.38
31.4	1.6	1.19	1.36
31.5	1.97	1.53	1.42
31.6	1.64	1.35	1.31
31.7	1.55	1.43	1.42
31.8	1.97	1.31	1.61
31.9	2.05	1.5	1.39
32.0	1.53	1.47	1.49
32.1	1.5	1.43	1.37
32.2	1.73	1.63	1.47
32.3	1.7	1.39	1.44
32.4	1.54	1.32	1.45
32.5	1.56	1.37	1.3
32.6	1.76	1.2	1.46
32.7	1.63	0.99	1.58
32.8	1.69	1.15	1.44
32.9	1.64	1.18	1.43
33.0	1.66	0.97	1.33
33.1	1.79	1.0	1.5
33.2	1.98	1.25	1.44
33.3	2.12	1.2	1.46
33.4	1.87	1.41	1.49
33.5	1.64	1.12	1.53
33.6	1.72	1.4	1.37
33.7	1.77	1.11	1.26
33.8	1.87	1.12	1.59
33.9	1.5	1.45	1.58
34.0	1.68	0.95	1.51
34.1	1.67	1.25	1.77
34.2	1.88	1.14	1.44
34.3	1.78	1.21	1.55
34.4	1.65	1.32	1.61
34.5	1.57	1.07	1.46
34.6	1.8	0.98	1.59
34.7	1.6	1.22	1.75
34.8	1.78	1.17	1.66
34.9	1.79	1.39	1.71
35.0	1.69	1.31	1.8
35.1	1.63	1.24	1.62
35.2	1.64	1.6	1.47
35.3	1.79	1.96	1.7
35.4	1.67	1.58	1.62
35.5	1.94	1.37	1.36
35.6	1.74	1.49	1.51
35.7	1.97	1.61	1.79
35.8	1.81	1.37	1.52
35.9	1.82	1.35	1.56
36.0	1.64	1.19	1.49
36.1	1.75	1.26	1.45
36.2	1.86	1.27	1.52
36.3	1.92	1.38	1.66
36.4	1.75	1.53	1.73
36.5	1.85	1.22	1.58
36.6	2.13	1.25	1.74
36.7	1.88	1.39	1.83
36.8	1.86	1.56	1.73
36.9	1.83	1.48	1.65
37.0	1.93	1.55	1.76
37.1	1.91	1.39	1.71
37.2	2.02	1.52	1.58
