anchor_id,smiles,mw,clogp
ANCHOR_000235,Brc1cnccc1-c1ncco1,225.045,2.4991
ANCHOR_000236,Brc1cnccc1N1CCOCC1,243.104,1.6807
ANCHOR_000237,Brc1cnccc1OCC1CC1,228.089,2.6329
ANCHOR_000238,Brc1cncnc1-c1ccccc1,235.084,2.9061
ANCHOR_000239,Brc1cncnc1C1CC1,199.051,2.1165
ANCHOR_000240,Brc1cncnc1C1CCNCC1,242.12,1.7061
ANCHOR_000241,Brc1cncnc1CC1CCCC1,241.132,2.9718
ANCHOR_000242,Brc1cnn(-c2ccccn2)c1,224.061,2.0298
ANCHOR_000243,Brc1cnn(C2CCCC2)c1,215.094,2.7607
ANCHOR_000244,Brc1cnn(CC2CCNCC2)c1,244.136,1.6452
ANCHOR_000245,Brc1cnn(C[C@@H]2CCNC2)c1,230.109,1.2551
ANCHOR_000246,Brc1cnn(C[C@@H]2CCOC2)c1,231.093,1.6821
ANCHOR_000247,Brc1cnn(C[C@H]2CCCN2)c1,230.109,1.3976
ANCHOR_000248,Brc1cnn(C[C@H]2CCCNC2)c1,244.136,1.6452
ANCHOR_000249,Brc1cnn(Cc2ccncc2)c1,238.088,2.0889
ANCHOR_000250,Brc1cnn([C@@H]2CCNC2)c1,216.082,1.18
ANCHOR_000251,Brc1cnncc1-c1cnc[nH]1,225.049,1.6292
ANCHOR_000252,Brc1cnncc1C1CCC1,213.078,2.5066
ANCHOR_000253,Brc1coc2c1Cc1cn[nH]c1-2,225.045,2.3364
ANCHOR_000254,Brc1coc2sncc12,204.048,2.6518
ANCHOR_000255,Brc1cocc1C1CCNCC1,230.105,2.5091
ANCHOR_000256,Brc1cocc1C1CCOCC1,231.089,2.9361
ANCHOR_000257,Brc1csc(-c2cccnc2)n1,241.113,2.9676
ANCHOR_000258,Brc1csc(C[C@H]2CCNC2)c1,246.173,2.6626
ANCHOR_000259,Brc1csc(N2CCCC2)n1,233.134,2.5058
ANCHOR_000260,Brc1csc(N2CCCCC2)n1,247.161,2.8959
ANCHOR_000261,Brc1csc([C@@H]2CCCN2)c1,232.146,2.9351
ANCHOR_000262,Brc1csc([C@@H]2CCCOC2)n1,248.145,2.7996
ANCHOR_000263,Brc1csc([C@@H]2CNCCO2)c1,248.145,2.1715
ANCHOR_000264,Brc1csc([C@@H]2COCCN2)c1,248.145,2.1715
ANCHOR_000265,Brc1csc([C@H]2CCOC2)n1,234.118,2.4095
ANCHOR_000266,Brc1csc2c1Cc1cn[nH]c1-2,241.113,2.8049
ANCHOR_000267,Brc1cscc1[C@H]1CCNC1,232.146,2.5875
ANCHOR_000268,Brc1n[nH]c(-c2cccnc2)n1,225.049,1.6292
ANCHOR_000269,Brc1n[nH]c([C@@H]2CCCO2)n1,218.054,1.4187
ANCHOR_000270,Brc1n[nH]c2ccncc12,198.023,1.7204
ANCHOR_000271,Brc1n[nH]c2nc3ccccc3nc12,249.071,2.2686
ANCHOR_000272,Brc1n[nH]nc1-c1ccccc1,224.061,2.2342
ANCHOR_000273,Brc1nc(-c2ccccc2)ns1,241.113,2.9676
ANCHOR_000274,Brc1nc(C2CC2)cn2ccnc12,238.088,2.3692
ANCHOR_000275,Brc1nc2c(s1)CCCC2,218.119,2.7844
ANCHOR_000276,Brc1nc2cnccc2s1,215.075,2.4538
ANCHOR_000277,Brc1nc2ncccc2o1,199.007,1.9853
ANCHOR_000278,Brc1ncc(-c2ccccn2)s1,241.113,2.9676
ANCHOR_000279,Brc1ncc(-c2ccncc2)s1,241.113,2.9676
ANCHOR_000280,Brc1ncc2cccnn12,198.023,1.4918
ANCHOR_000281,Brc1nccc2c1=CCN=2,197.035,0.2578
ANCHOR_000282,Brc1ncccc1-c1ncco1,225.045,2.4991
ANCHOR_000283,Brc1ncccc1C1CC1,198.063,2.7215
ANCHOR_000284,Brc1ncccc1C1OCCCO1,244.088,2.2796
ANCHOR_000285,Brc1ncccc1OC1CC1,214.062,2.3853
ANCHOR_000286,Brc1nccn1C1CCCC1,215.094,2.7607
ANCHOR_000287,Brc1nccn1Cc1ccco1,227.061,2.2869
ANCHOR_000288,Brc1ncnc(Br)n1,238.87,1.3966
ANCHOR_000289,Brc1ncnc2c1CCCN2,214.066,1.5972
ANCHOR_000290,Brc1ncnc2cc[nH]c12,198.023,1.7204
ANCHOR_000291,Brc1ncnc2sccc12,215.075,2.4538
ANCHOR_000292,Brc1ncsc1CN1CCCC1,247.161,2.5014
ANCHOR_000293,Brc1noc2c1COC2,189.996,1.4673
ANCHOR_000294,Brc1occ2c1CCNC2,202.051,1.6878
ANCHOR_000295,Brc1occ2c1CCOCC2,217.062,2.1573
ANCHOR_000296,Brc1occ2c1OCO2,190.98,1.7708
ANCHOR_000297,Brc1occc1[C@@H]1CCCCN1,230.105,2.8567
ANCHOR_000298,Brc1occc1[C@@H]1CCNC1,216.078,2.119
ANCHOR_000299,Brc1occc1[C@H]1CCOCCN1,246.104,2.0931
ANCHOR_000300,Brc1occc1[C@H]1CNCCCO1,246.104,2.0931
ANCHOR_000301,Brc1scc2c1CCC2,203.104,2.9993
ANCHOR_000302,Brc1scc2c1CCNC2,218.119,2.1563
ANCHOR_000303,Brc1scc2c1CCOC2,219.103,2.5833
ANCHOR_000304,Brc1sccc1-c1cncnc1,241.113,2.9676
ANCHOR_000305,Brc1sccc1[C@H]1CNCCO1,248.145,2.1715
ANCHOR_000306,C#C/C(C)=C/CO,96.129,0.5582
ANCHOR_000307,C#C/C(C)=C\C,80.13,1.5858
ANCHOR_000308,C#C/C(O)=N/c1ccc(Cl)cc1CN,208.648,2.0199
ANCHOR_000309,C#C/C=C/C,66.103,1.1957
ANCHOR_000310,C#C/C=C/C=C/CO,108.14,0.7243
ANCHOR_000311,C#C/C=C/CCC(=O)O,124.139,1.0406
ANCHOR_000312,C#C/C=C/N1CCCC1,121.183,1.2291
ANCHOR_000313,C#C/C=C\N1CCCC1,121.183,1.2291
ANCHOR_000314,C#C/C=C\[C@@H](C)CNC(=O)OC(C)(C)C,209.289,2.3366
ANCHOR_000315,C#CC#CC#C[C@@H]1OC(C)(C)O[C@@H]1CO,204.225,0.1388
ANCHOR_000316,C#CC#Cc1ccc(C)cc1,140.185,1.9797
ANCHOR_000317,C#CC#Cc1cccc(C)c1,140.185,1.9797
ANCHOR_000318,C#CC#Cc1ccn(C)n1,130.15,0.4048
ANCHOR_000319,C#CC(=O)C1CCC1,108.14,0.9888
ANCHOR_000320,C#CC(=O)CCC,96.129,0.9888
ANCHOR_000321,C#CC(=O)N(C)CC(=O)O,141.126,-0.8374
ANCHOR_000322,C#CC(=O)N(C)[C@@H](C)CN1CCNCC1,209.293,-0.6283
ANCHOR_000323,C#CC(=O)N(C)[C@@H](CC)C(=O)N1CCNCC1,237.303,-0.7116
ANCHOR_000324,C#CC(=O)N(C)[C@H](C)CN1CCNCC1,209.293,-0.6283
ANCHOR_000325,C#CC(=O)N(C)c1ccccc1C(=O)O,203.197,0.9808
ANCHOR_000326,C#CC(=O)N(C)c1ccccc1CN,188.23,0.7413
ANCHOR_000327,C#CC(=O)N(CC(=O)N1CCNCC1)C1CC1,235.287,-0.9576
ANCHOR_000328,C#CC(=O)N(CC(=O)O)C1CC1,167.164,-0.3048
ANCHOR_000329,C#CC(=O)N(CC(=O)O)c1ccc(Cl)cc1,237.642,1.3908
ANCHOR_000330,C#CC(=O)N(CC)C1CCNCC1,180.251,0.2201
ANCHOR_000331,C#CC(=O)N(CCC(=O)O)C(C)(C)C,197.234,0.7214
ANCHOR_000332,C#CC(=O)N(CCC)C1CCNCC1,194.278,0.6102
ANCHOR_000333,C#CC(=O)N(CCN)C(C)C,154.213,-0.1847
ANCHOR_000334,C#CC(=O)N1CCCC1,123.155,0.242
ANCHOR_000335,C#CC(=O)N1CCC[C@@H](CN2CCNCC2)C1,235.331,-0.2366
ANCHOR_000336,C#CC(=O)N1CCC[C@@H](N)C1,152.197,-0.4307
ANCHOR_000337,C#CC(=O)N1CCC[C@H](C(=O)O)C1,181.191,-0.0572
ANCHOR_000338,C#CC(=O)N1CCC[C@H]1CCN,166.224,-0.0406
ANCHOR_000339,C#CC(=O)N1CCC[C@H]1CN,152.197,-0.4307
ANCHOR_000340,C#CC(=O)N1CCN(CCN)CC1,181.239,-1.2775
ANCHOR_000341,C#CC(=O)N1CCNC[C@@H]1C,152.197,-0.5601
ANCHOR_000342,C#CC(=O)N1CCO[C@@H](CN)C1,168.196,-1.1943
ANCHOR_000343,C#CC(=O)N1C[C@H](O)C[C@H]1C(=O)O,183.163,-1.334
ANCHOR_000344,C#CC(=O)N1[C@@H](C(=O)O)C[C@H]2CCCC[C@H]21,221.256,0.8639
ANCHOR_000345,C#CC(=O)NCCCN,126.159,-0.9154
ANCHOR_000346,C#CC(=O)NC[C@@H](C)C(=O)N1CCNCC1,223.276,-1.1963
ANCHOR_000347,C#CC(=O)NC[C@@H]1CCCCN1,166.224,-0.1221
ANCHOR_000348,C#CC(=O)NCc1c[nH]nc1C,163.18,-0.0325
