epoch,oracle_batch_size,oracle_latency_ms,rust_scoring_time_ms,parquet_write_ms,parquet_read_ms,reward_mean,reward_std,invalid_reward_count,duplicate_smiles_count
39,64,1103.7792169954628,1102.1172739565372,0.5197100108489394,1.0711170034483075,3.868595600128174,1.713014006614685,0,0
40,64,1116.5035319281742,1114.8841379908845,0.5017980001866817,1.0563420364633203,3.4387476444244385,1.443938136100769,0,0
41,64,1097.638263949193,1096.000729012303,0.5113489460200071,1.0690910276025534,4.38149881362915,1.8226535320281982,0,0
42,64,1104.0742010809481,1102.3926789639518,0.46891404781490564,1.1423990363255143,3.8898258209228516,2.6260316371917725,0,0
43,64,1148.1030769646168,1096.0884410887957,50.86537101306021,1.069767982698977,4.105825424194336,1.9801716804504395,0,0
44,64,1101.9303670618683,1100.303309969604,0.46742905396968126,1.0901850182563066,3.923246145248413,1.7546522617340088,0,0
45,64,1124.448467977345,1122.7378450566903,0.5315609741955996,1.0838359594345093,3.9053566455841064,1.9644895792007446,0,0
46,64,1101.9404720282182,1100.2990399720147,0.45833492185920477,1.1181089794263244,3.523158550262451,1.5330435037612915,0,0
47,64,1095.1083020772785,1093.408599961549,0.5042440025135875,1.1235810816287994,3.9508328437805176,2.073093891143799,0,0
48,64,1161.7132120300084,1110.2310750866309,0.4785310011357069,0.997802009806037,3.8040053844451904,2.0637874603271484,0,0
49,64,1107.2614900767803,1105.5554589256644,0.5340699572116137,1.0946010006591678,3.83488392829895,1.6195071935653687,0,0
50,64,1115.5657869530842,1113.9217579038814,0.4640580154955387,1.114016049541533,3.866475820541382,1.5977991819381714,0,0
51,64,1094.9231520062312,1093.2596300262958,0.540710985660553,1.0532019659876823,3.954902410507202,2.0174617767333984,0,0
